,event_id,attack_type,success,suicide,weapon_type,individual,nperps,nperps_cap,host_kid,nhost_kid,host_kid_hours,host_kid_days,ransom,ransom_amt,ransom_amt_paid,total_killed,perps_killed,total_wounded,perps_wounded,property_dmg,property_dmg_value
84,201912310016,Facility/Infrastructure Attack,1,0,Firearms,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
85,201912310017,Unarmed Assault,1,0,Incendiary,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
86,201912310018,Hostage Taking (Kidnapping),1,0,Unknown,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
87,201912310019,Unknown,1,0,Unknown,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
88,201912310021,Assassination,1,0,Firearms,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89,201912310022,Assassination,1,0,Firearms,0,30,0,1,2,0,1,0,0,0,1,0,0,0,0,0
90,201912310023,Armed Assault,1,0,Melee,0,2,0,0,0,0,0,0,0,0,2,1,4,1,1,0
91,201912310024,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,201912310025,Hostage Taking (Kidnapping),1,0,Unknown,0,0,0,1,16,0,1,0,0,0,0,0,0,0,0,0
93,201912310026,Hostage Taking (Kidnapping),1,0,Unknown,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0
94,201912310027,Unknown,1,0,Unknown,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,201912310028,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,201912310030,Unknown,1,0,Unknown,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0
97,201912310031,Armed Assault,1,0,Firearms,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
98,201912310032,Bombing/Explosion,1,0,Explosives,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,201912310033,Facility/Infrastructure Attack,1,0,Incendiary,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
